Date,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
193006,122.35,56.05,-99.99,11.71,93.64,11.8,62.29,49.19,24.29,6.74,-99.99,43.8,119.37,170.21,-99.99,6.72,34.98,22.38,81.49,-99.99,56.61,297.68,78.84,66.29,46.13,-99.99,-99.99,46.68,26.32,138.72,351.07,915.48,1.78,26.23,114.19,-99.99,20.73,508.82,5.75,49.88,101.64,6.32,49.87,18.86,50.18,52.85,50.38,74.86,11.38
193007,128.24,55.01,-99.99,10.07,93.31,9.7,58.83,52.1,51.7,16.88,-99.99,31.21,81.74,116.78,19.69,6.33,28.77,53.46,73.19,-99.99,42.92,211.75,54.98,42.58,39.89,-99.99,-99.99,42.56,23.35,120.23,321.25,916.69,1.2,21.24,75.98,-99.99,9.48,454.14,2.61,42.7,88.17,7.77,41.04,15.61,47.45,47.66,43.02,40.44,9.93
193008,129.74,56.68,-99.99,10.07,95.97,10.98,60,52.68,54.39,17.42,-99.99,35.16,85.73,122.96,22.48,6.63,31.16,55.74,75.34,-99.99,44.14,220.2,61.34,45.72,41.01,-99.99,-99.99,43.94,22.79,126.94,333.49,928.36,1.33,22.62,78.65,-99.99,11.39,469.9,2.87,45.69,90.63,7.63,42.08,16.02,50.63,49.68,42.66,42.63,10.49
193009,131.35,57.49,-99.99,11,99.34,11.64,62.17,50.85,54.69,16.88,-99.99,35.58,92.87,127.84,21.12,6.53,30.24,53.94,73.16,-99.99,44.37,223.8,59.23,45.36,41.38,-99.99,-99.99,37.66,23.34,124.48,336.3,943.67,1.25,23.51,81.11,-99.99,10.78,494.66,2.97,44.93,90.5,7.04,44.13,16.27,51.04,49.24,38.73,44.09,10.56
193010,114.71,51.46,-99.99,9.65,90.06,10.37,50.02,50.43,48.81,16.12,-99.99,32.58,84.16,109.35,15.04,5.65,24.96,47.2,65.36,-99.99,36.84,177.59,49.33,31.36,36.47,-99.99,-99.99,34.15,21.92,106.06,295.61,884.75,1.3,20.92,71.68,-99.99,8.84,439.51,2.15,39.1,82.45,6.33,39.25,13.85,44.04,43.33,32.8,34.53,9.21
193011,96.26,49.2,-99.99,9.35,85.68,9.9,45.5,46.86,46.22,15.27,-99.99,31.84,79.96,95.71,13.52,5.39,21.69,37.09,59.18,-99.99,32.86,144.5,44.55,26.02,32.68,-99.99,-99.99,30.4,19.19,97.1,270.63,848.31,1.12,19.83,61.2,-99.99,7.96,386.61,1.87,37.41,76.52,5.93,35.77,12.4,42.39,38.81,27.38,28.13,7.68
193012,98.86,49.51,-99.99,9.68,84.33,9.1,42.6,45.46,45.32,15.47,-99.99,30.18,76.81,95.33,14.53,5.16,21.2,34.55,58.34,-99.99,32.39,139.28,46.45,24.51,35,-99.99,-99.99,31.77,17.34,93.24,245.85,820.53,1.21,18.7,58.44,-99.99,8.43,375.92,1.59,37.52,72.05,6.09,36.64,12.05,39.33,38.13,24.09,25.14,7.48
193101,75.55,47.46,-99.99,8.56,81.14,8.68,35.15,42.66,42.52,14.1,-99.99,28.73,70.63,90.46,12.17,4.81,18.19,29.67,53.43,-99.99,29.13,121.2,45.61,19.98,29.92,-99.99,-99.99,28.83,15.76,81.31,236.07,779.31,1.05,18.39,58.34,-99.99,7.37,330.9,1.2,35.3,66.64,5.81,31.43,10.94,39.76,33.29,19.75,21.31,6.6
193102,87.49,49.58,-99.99,8.96,86.25,8.53,41.15,42.91,45.83,14.06,-99.99,31.58,76.05,89.66,14.2,5.4,19.57,28.78,54.78,-99.99,30.72,127.32,49.67,24.41,34.59,-99.99,-99.99,30.71,17.78,85.1,248.65,816.62,1.52,19.51,61.75,-99.99,7.41,349.47,1.61,36.2,74.08,6.08,33.6,11.68,41.08,38,20.85,26.93,7.8
193103,99.01,53.77,-99.99,10.46,91.21,9.15,44.82,43.5,48.65,14.44,-99.99,32.14,82.27,101.36,17.07,6.24,22.33,32.98,62.32,-99.99,34.14,159.22,57.55,31.28,36.5,-99.99,-99.99,34.91,17.66,89.65,285.51,865.17,2,19.9,70.58,-99.99,8.64,398.43,2.82,40.53,75.39,5.95,38.57,12.93,47.47,40.46,25.46,32.36,8.79
